AirportCode,AirportName,City,State,Latitude,Longitude,HubTier
DVL,DVL Airport,DVL,US,38.0,-95.0,15 - 30
ECP,ECP Airport,ECP,US,38.0,-95.0,15 - 30
EGE,EGE Airport,EGE,US,38.0,-95.0,15 - 30
EKO,EKO Airport,EKO,US,38.0,-95.0,15 - 30
ELM,ELM Airport,ELM,US,38.0,-95.0,15 - 30
ELP,ELP Airport,ELP,US,38.0,-95.0,15 - 30
ERI,ERI Airport,ERI,US,38.0,-95.0,15 - 30
ESC,ESC Airport,ESC,US,38.0,-95.0,15 - 30
EUG,EUG Airport,EUG,US,38.0,-95.0,15 - 30
EVV,EVV Airport,EVV,US,38.0,-95.0,15 - 30
EWN,EWN Airport,EWN,US,38.0,-95.0,15 - 30
EWR,Newark Liberty International,Newark,NJ,40.6895,-74.1745,> 60
EYW,EYW Airport,EYW,US,38.0,-95.0,15 - 30
FAI,FAI Airport,FAI,US,38.0,-95.0,15 - 30
FAR,FAR Airport,FAR,US,38.0,-95.0,15 - 30
FAT,FAT Airport,FAT,US,38.0,-95.0,15 - 30
FAY,FAY Airport,FAY,US,38.0,-95.0,15 - 30
FCA,FCA Airport,FCA,US,38.0,-95.0,15 - 30
FLG,FLG Airport,FLG,US,38.0,-95.0,15 - 30
FLL,FLL Airport,FLL,US,38.0,-95.0,15 - 30
FNT,FNT Airport,FNT,US,38.0,-95.0,15 - 30
FOD,FOD Airport,FOD,US,38.0,-95.0,15 - 30
FSD,FSD Airport,FSD,US,38.0,-95.0,15 - 30
FSM,FSM Airport,FSM,US,38.0,-95.0,15 - 30
FWA,FWA Airport,FWA,US,38.0,-95.0,15 - 30
GCC,GCC Airport,GCC,US,38.0,-95.0,15 - 30
GCK,GCK Airport,GCK,US,38.0,-95.0,15 - 30
GEG,GEG Airport,GEG,US,38.0,-95.0,15 - 30
GFK,GFK Airport,GFK,US,38.0,-95.0,15 - 30
GGG,GGG Airport,GGG,US,38.0,-95.0,15 - 30
GJT,GJT Airport,GJT,US,38.0,-95.0,15 - 30
GNV,GNV Airport,GNV,US,38.0,-95.0,15 - 30
GPT,GPT Airport,GPT,US,38.0,-95.0,15 - 30
GRB,GRB Airport,GRB,US,38.0,-95.0,15 - 30
GRI,GRI Airport,GRI,US,38.0,-95.0,15 - 30
GRK,GRK Airport,GRK,US,38.0,-95.0,15 - 30
GRR,GRR Airport,GRR,US,38.0,-95.0,15 - 30
GSO,GSO Airport,GSO,US,38.0,-95.0,15 - 30
GSP,GSP Airport,GSP,US,38.0,-95.0,15 - 30
GST,GST Airport,GST,US,38.0,-95.0,15 - 30
GTF,GTF Airport,GTF,US,38.0,-95.0,15 - 30
GTR,GTR Airport,GTR,US,38.0,-95.0,15 - 30
GUC,GUC Airport,GUC,US,38.0,-95.0,15 - 30
GUM,GUM Airport,GUM,US,38.0,-95.0,15 - 30
HDN,HDN Airport,HDN,US,38.0,-95.0,15 - 30
HGR,HGR Airport,HGR,US,38.0,-95.0,15 - 30
HHH,HHH Airport,HHH,US,38.0,-95.0,15 - 30
HIB,HIB Airport,HIB,US,38.0,-95.0,15 - 30
HLN,HLN Airport,HLN,US,38.0,-95.0,15 - 30
HNL,HNL Airport,HNL,US,38.0,-95.0,15 - 30
HOU,HOU Airport,HOU,US,38.0,-95.0,15 - 30
HPN,HPN Airport,HPN,US,38.0,-95.0,15 - 30
HRL,HRL Airport,HRL,US,38.0,-95.0,15 - 30
HSV,HSV Airport,HSV,US,38.0,-95.0,15 - 30
HTS,HTS Airport,HTS,US,38.0,-95.0,15 - 30
HYA,HYA Airport,HYA,US,38.0,-95.0,15 - 30
HYS,HYS Airport,HYS,US,38.0,-95.0,15 - 30
IAD,IAD Airport,IAD,US,38.0,-95.0,15 - 30
IAG,IAG Airport,IAG,US,38.0,-95.0,15 - 30
IAH,IAH Airport,IAH,US,38.0,-95.0,15 - 30
ICT,ICT Airport,ICT,US,38.0,-95.0,15 - 30
IDA,IDA Airport,IDA,US,38.0,-95.0,15 - 30
ILM,ILM Airport,ILM,US,38.0,-95.0,15 - 30
IMT,IMT Airport,IMT,US,38.0,-95.0,15 - 30
IND,IND Airport,IND,US,38.0,-95.0,15 - 30
INL,INL Airport,INL,US,38.0,-95.0,15 - 30
ISP,ISP Airport,ISP,US,38.0,-95.0,15 - 30
ITH,ITH Airport,ITH,US,38.0,-95.0,15 - 30
ITO,ITO Airport,ITO,US,38.0,-95.0,15 - 30
JAC,JAC Airport,JAC,US,38.0,-95.0,15 - 30
JAN,JAN Airport,JAN,US,38.0,-95.0,15 - 30
JAX,JAX Airport,JAX,US,38.0,-95.0,15 - 30
JFK,John F. Kennedy International,New York,NY,40.6413,-73.7781,> 60
JLN,JLN Airport,JLN,US,38.0,-95.0,15 - 30
JMS,JMS Airport,JMS,US,38.0,-95.0,15 - 30
JNU,JNU Airport,JNU,US,38.0,-95.0,15 - 30
JST,JST Airport,JST,US,38.0,-95.0,15 - 30
KOA,KOA Airport,KOA,US,38.0,-95.0,15 - 30
KTN,KTN Airport,KTN,US,38.0,-95.0,15 - 30
LAN,LAN Airport,LAN,US,38.0,-95.0,15 - 30
LAR,LAR Airport,LAR,US,38.0,-95.0,15 - 30
LAS,LAS Airport,LAS,US,38.0,-95.0,15 - 30
LAW,LAW Airport,LAW,US,38.0,-95.0,15 - 30
LAX,Los Angeles International,Los Angeles,CA,33.9416,-118.4085,30 - 60
LBB,LBB Airport,LBB,US,38.0,-95.0,15 - 30
LBE,LBE Airport,LBE,US,38.0,-95.0,15 - 30
LBF,LBF Airport,LBF,US,38.0,-95.0,15 - 30
LBL,LBL Airport,LBL,US,38.0,-95.0,15 - 30
LCH,LCH Airport,LCH,US,38.0,-95.0,15 - 30
LCK,LCK Airport,LCK,US,38.0,-95.0,15 - 30
LEX,LEX Airport,LEX,US,38.0,-95.0,15 - 30
LFT,LFT Airport,LFT,US,38.0,-95.0,15 - 30
LGA,LGA Airport,LGA,US,38.0,-95.0,15 - 30
LGB,LGB Airport,LGB,US,38.0,-95.0,15 - 30
LIH,LIH Airport,LIH,US,38.0,-95.0,15 - 30
LIT,LIT Airport,LIT,US,38.0,-95.0,15 - 30
LNK,LNK Airport,LNK,US,38.0,-95.0,15 - 30
LRD,LRD Airport,LRD,US,38.0,-95.0,15 - 30
LSE,LSE Airport,LSE,US,38.0,-95.0,15 - 30
LWS,LWS Airport,LWS,US,38.0,-95.0,15 - 30
MAF,MAF Airport,MAF,US,38.0,-95.0,15 - 30
MBS,MBS Airport,MBS,US,38.0,-95.0,15 - 30
MCI,MCI Airport,MCI,US,38.0,-95.0,15 - 30
MCO,MCO Airport,MCO,US,38.0,-95.0,15 - 30
MCW,MCW Airport,MCW,US,38.0,-95.0,15 - 30
MDT,MDT Airport,MDT,US,38.0,-95.0,15 - 30
MDW,MDW Airport,MDW,US,38.0,-95.0,15 - 30
MEI,MEI Airport,MEI,US,38.0,-95.0,15 - 30
MEM,MEM Airport,MEM,US,38.0,-95.0,15 - 30
MFE,MFE Airport,MFE,US,38.0,-95.0,15 - 30
MFR,MFR Airport,MFR,US,38.0,-95.0,15 - 30
MGM,MGM Airport,MGM,US,38.0,-95.0,15 - 30
MHK,MHK Airport,MHK,US,38.0,-95.0,15 - 30
MHT,MHT Airport,MHT,US,38.0,-95.0,15 - 30
MIA,Miami International,Miami,FL,25.7959,-80.287,30 - 60
MKE,MKE Airport,MKE,US,38.0,-95.0,15 - 30
MLB,MLB Airport,MLB,US,38.0,-95.0,15 - 30
MLI,MLI Airport,MLI,US,38.0,-95.0,15 - 30
MLU,MLU Airport,MLU,US,38.0,-95.0,15 - 30
MOB,MOB Airport,MOB,US,38.0,-95.0,15 - 30
MOT,MOT Airport,MOT,US,38.0,-95.0,15 - 30
MQT,MQT Airport,MQT,US,38.0,-95.0,15 - 30
MRY,MRY Airport,MRY,US,38.0,-95.0,15 - 30
MSN,MSN Airport,MSN,US,38.0,-95.0,15 - 30
MSO,MSO Airport,MSO,US,38.0,-95.0,15 - 30
MSP,MSP Airport,MSP,US,38.0,-95.0,15 - 30
MSY,MSY Airport,MSY,US,38.0,-95.0,15 - 30
MTJ,MTJ Airport,MTJ,US,38.0,-95.0,15 - 30
MVY,MVY Airport,MVY,US,38.0,-95.0,15 - 30
MYR,MYR Airport,MYR,US,38.0,-95.0,15 - 30
OAJ,OAJ Airport,OAJ,US,38.0,-95.0,15 - 30
OAK,OAK Airport,OAK,US,38.0,-95.0,15 - 30
OGG,OGG Airport,OGG,US,38.0,-95.0,15 - 30
OKC,OKC Airport,OKC,US,38.0,-95.0,15 - 30
OMA,OMA Airport,OMA,US,38.0,-95.0,15 - 30
OME,OME Airport,OME,US,38.0,-95.0,15 - 30
ONT,ONT Airport,ONT,US,38.0,-95.0,15 - 30
ORD,Chicago O'Hare International,Chicago,IL,41.9742,-87.9073,> 60
ORF,ORF Airport,ORF,US,38.0,-95.0,15 - 30
ORH,ORH Airport,ORH,US,38.0,-95.0,15 - 30
OTH,OTH Airport,OTH,US,38.0,-95.0,15 - 30
OTZ,OTZ Airport,OTZ,US,38.0,-95.0,15 - 30
OWB,OWB Airport,OWB,US,38.0,-95.0,15 - 30
PAE,PAE Airport,PAE,US,38.0,-95.0,15 - 30
PBG,PBG Airport,PBG,US,38.0,-95.0,15 - 30
PBI,PBI Airport,PBI,US,38.0,-95.0,15 - 30
PDX,PDX Airport,PDX,US,38.0,-95.0,15 - 30
PGD,PGD Airport,PGD,US,38.0,-95.0,15 - 30
PGV,PGV Airport,PGV,US,38.0,-95.0,15 - 30
PHL,PHL Airport,PHL,US,38.0,-95.0,15 - 30
PHX,PHX Airport,PHX,US,38.0,-95.0,15 - 30
PIA,PIA Airport,PIA,US,38.0,-95.0,15 - 30
PIB,PIB Airport,PIB,US,38.0,-95.0,15 - 30
PIE,PIE Airport,PIE,US,38.0,-95.0,15 - 30
PIH,PIH Airport,PIH,US,38.0,-95.0,15 - 30
PIT,PIT Airport,PIT,US,38.0,-95.0,15 - 30
PLN,PLN Airport,PLN,US,38.0,-95.0,15 - 30
PNS,PNS Airport,PNS,US,38.0,-95.0,15 - 30
PPG,PPG Airport,PPG,US,38.0,-95.0,15 - 30
PRC,PRC Airport,PRC,US,38.0,-95.0,15 - 30
PSC,PSC Airport,PSC,US,38.0,-95.0,15 - 30
PSE,PSE Airport,PSE,US,38.0,-95.0,15 - 30
PSG,PSG Airport,PSG,US,38.0,-95.0,15 - 30
PSM,PSM Airport,PSM,US,38.0,-95.0,15 - 30
PSP,PSP Airport,PSP,US,38.0,-95.0,15 - 30
PUB,PUB Airport,PUB,US,38.0,-95.0,15 - 30
PVD,PVD Airport,PVD,US,38.0,-95.0,15 - 30
PVU,PVU Airport,PVU,US,38.0,-95.0,15 - 30
PWM,PWM Airport,PWM,US,38.0,-95.0,15 - 30
RAP,RAP Airport,RAP,US,38.0,-95.0,15 - 30
RDD,RDD Airport,RDD,US,38.0,-95.0,15 - 30
RDM,RDM Airport,RDM,US,38.0,-95.0,15 - 30
RDU,RDU Airport,RDU,US,38.0,-95.0,15 - 30
RFD,RFD Airport,RFD,US,38.0,-95.0,15 - 30
RHI,RHI Airport,RHI,US,38.0,-95.0,15 - 30
RIC,RIC Airport,RIC,US,38.0,-95.0,15 - 30
RIW,RIW Airport,RIW,US,38.0,-95.0,15 - 30
RKS,RKS Airport,RKS,US,38.0,-95.0,15 - 30
RNO,RNO Airport,RNO,US,38.0,-95.0,15 - 30
ROA,ROA Airport,ROA,US,38.0,-95.0,15 - 30
ROC,ROC Airport,ROC,US,38.0,-95.0,15 - 30
ROW,ROW Airport,ROW,US,38.0,-95.0,15 - 30
RST,RST Airport,RST,US,38.0,-95.0,15 - 30
RSW,RSW Airport,RSW,US,38.0,-95.0,15 - 30
SAF,SAF Airport,SAF,US,38.0,-95.0,15 - 30
SAN,SAN Airport,SAN,US,38.0,-95.0,15 - 30
SAT,SAT Airport,SAT,US,38.0,-95.0,15 - 30
SAV,SAV Airport,SAV,US,38.0,-95.0,15 - 30
SBA,SBA Airport,SBA,US,38.0,-95.0,15 - 30
SBN,SBN Airport,SBN,US,38.0,-95.0,15 - 30
SBP,SBP Airport,SBP,US,38.0,-95.0,15 - 30
SCC,SCC Airport,SCC,US,38.0,-95.0,15 - 30
SCE,SCE Airport,SCE,US,38.0,-95.0,15 - 30
SCK,SCK Airport,SCK,US,38.0,-95.0,15 - 30
SDF,SDF Airport,SDF,US,38.0,-95.0,15 - 30
SEA,Seattle-Tacoma International,Seattle,WA,47.4502,-122.3088,< 15
SFB,SFB Airport,SFB,US,38.0,-95.0,15 - 30
SFO,San Francisco International,San Francisco,CA,37.6213,-122.379,30 - 60
SGF,SGF Airport,SGF,US,38.0,-95.0,15 - 30
SGU,SGU Airport,SGU,US,38.0,-95.0,15 - 30
SHR,SHR Airport,SHR,US,38.0,-95.0,15 - 30
SHV,SHV Airport,SHV,US,38.0,-95.0,15 - 30
SIT,SIT Airport,SIT,US,38.0,-95.0,15 - 30
SJC,SJC Airport,SJC,US,38.0,-95.0,15 - 30
SJT,SJT Airport,SJT,US,38.0,-95.0,15 - 30
SJU,SJU Airport,SJU,US,38.0,-95.0,15 - 30
SLC,SLC Airport,SLC,US,38.0,-95.0,15 - 30
SLN,SLN Airport,SLN,US,38.0,-95.0,15 - 30
SMF,SMF Airport,SMF,US,38.0,-95.0,15 - 30
SMX,SMX Airport,SMX,US,38.0,-95.0,15 - 30
SNA,SNA Airport,SNA,US,38.0,-95.0,15 - 30
SPI,SPI Airport,SPI,US,38.0,-95.0,15 - 30
SPN,SPN Airport,SPN,US,38.0,-95.0,15 - 30
SPS,SPS Airport,SPS,US,38.0,-95.0,15 - 30
SRQ,SRQ Airport,SRQ,US,38.0,-95.0,15 - 30
STC,STC Airport,STC,US,38.0,-95.0,15 - 30
STL,STL Airport,STL,US,38.0,-95.0,15 - 30
STS,STS Airport,STS,US,38.0,-95.0,15 - 30
STT,STT Airport,STT,US,38.0,-95.0,15 - 30
STX,STX Airport,STX,US,38.0,-95.0,15 - 30
SUN,SUN Airport,SUN,US,38.0,-95.0,15 - 30
SUX,SUX Airport,SUX,US,38.0,-95.0,15 - 30
SWF,SWF Airport,SWF,US,38.0,-95.0,15 - 30
SWO,SWO Airport,SWO,US,38.0,-95.0,15 - 30
SYR,SYR Airport,SYR,US,38.0,-95.0,15 - 30
TLH,TLH Airport,TLH,US,38.0,-95.0,15 - 30
TOL,TOL Airport,TOL,US,38.0,-95.0,15 - 30
TPA,TPA Airport,TPA,US,38.0,-95.0,15 - 30
TRI,TRI Airport,TRI,US,38.0,-95.0,15 - 30
TTN,TTN Airport,TTN,US,38.0,-95.0,15 - 30
TUL,TUL Airport,TUL,US,38.0,-95.0,15 - 30
TUS,TUS Airport,TUS,US,38.0,-95.0,15 - 30
TVC,TVC Airport,TVC,US,38.0,-95.0,15 - 30
TWF,TWF Airport,TWF,US,38.0,-95.0,15 - 30
TXK,TXK Airport,TXK,US,38.0,-95.0,15 - 30
TYR,TYR Airport,TYR,US,38.0,-95.0,15 - 30
TYS,TYS Airport,TYS,US,38.0,-95.0,15 - 30
USA,USA Airport,USA,US,38.0,-95.0,15 - 30
VCT,VCT Airport,VCT,US,38.0,-95.0,15 - 30
VEL,VEL Airport,VEL,US,38.0,-95.0,15 - 30
VLD,VLD Airport,VLD,US,38.0,-95.0,15 - 30
VPS,VPS Airport,VPS,US,38.0,-95.0,15 - 30
WRG,WRG Airport,WRG,US,38.0,-95.0,15 - 30
WYS,WYS Airport,WYS,US,38.0,-95.0,15 - 30
XNA,XNA Airport,XNA,US,38.0,-95.0,15 - 30
XWA,XWA Airport,XWA,US,38.0,-95.0,15 - 30
YAK,YAK Airport,YAK,US,38.0,-95.0,15 - 30
YUM,YUM Airport,YUM,US,38.0,-95.0,15 - 30
